day_key,entry_time,side,entry_price,sl,tp,exit_time,exit_price,exit_reason,pnl_usdt,r_multiple,used_fallback
2025-06-14,2025-06-14 12:15:00+00:00,short,104863.9,105080.77428571427,104502.44285714286,2025-06-14 16:30:00+00:00,104502.44285714286,take_profit,33.33333333333378,1.666666666666689,False
2025-06-15,2025-06-15 12:45:00+00:00,long,105250.0,104936.38,105772.7,2025-06-15 14:45:00+00:00,105772.7,take_profit,33.33333333333365,1.666666666666682,False
2025-06-19,2025-06-19 12:30:00+00:00,short,104658.2,104887.92285714285,104275.32857142857,2025-06-19 13:45:00+00:00,104275.32857142857,take_profit,33.33333333333291,1.6666666666666456,False
2025-06-21,2025-06-21 12:00:00+00:00,long,103888.6,103261.05142857143,104934.5142857143,2025-06-21 15:30:00+00:00,103261.05142857143,stop_loss,-20.0,-1.0,False
2025-06-23,2025-06-23 12:45:00+00:00,long,101642.1,100941.94285714286,102809.02857142857,2025-06-23 18:00:00+00:00,102809.02857142857,take_profit,33.33333333333292,1.6666666666666459,False
2025-06-27,2025-06-27 12:15:00+00:00,long,107125.0,106986.28,107356.2,2025-06-27 15:45:00+00:00,107356.2,take_profit,33.33333333333263,1.6666666666666317,False
2025-06-29,2025-06-29 12:30:00+00:00,short,107992.7,108257.10285714285,107552.02857142857,2025-06-29 16:15:00+00:00,107552.02857142857,take_profit,33.33333333333407,1.6666666666667034,False
2025-06-30,2025-06-30 12:45:00+00:00,short,107526.9,107710.01142857142,107221.71428571428,2025-06-30 14:00:00+00:00,107221.71428571428,take_profit,33.33333333333386,1.6666666666666932,False
2025-07-02,2025-07-02 12:15:00+00:00,short,107270.9,107484.62,106914.7,2025-07-02 13:00:00+00:00,107484.62,stop_loss,-20.0,-1.0,False
2025-07-03,2025-07-03 12:00:00+00:00,short,109524.1,109680.18571428572,109263.95714285715,2025-07-03 12:30:00+00:00,109263.95714285715,take_profit,33.333333333333336,1.6666666666666667,False
2025-07-04,2025-07-04 12:30:00+00:00,short,108689.7,108841.58571428571,108436.55714285714,2025-07-04 13:30:00+00:00,108436.55714285714,take_profit,33.333333333332696,1.6666666666666348,False
2025-07-05,2025-07-05 12:00:00+00:00,short,107993.0,108079.07428571429,107849.54285714286,2025-07-05 16:30:00+00:00,107849.54285714286,take_profit,33.33333333332995,1.6666666666664975,False
2025-07-06,2025-07-06 12:30:00+00:00,long,108120.7,107810.00285714286,108638.52857142857,2025-07-06 13:30:00+00:00,108638.52857142857,take_profit,33.33333333333365,1.6666666666666823,False
2025-07-07,2025-07-07 12:00:00+00:00,short,108477.1,108659.67142857144,108172.81428571428,2025-07-07 13:00:00+00:00,108172.81428571428,take_profit,33.33333333333333,1.6666666666666667,False
2025-07-08,2025-07-08 12:15:00+00:00,short,108647.9,108795.80857142857,108401.38571428572,2025-07-08 14:15:00+00:00,108401.38571428572,take_profit,33.33333333333137,1.6666666666665684,False
2025-07-09,2025-07-09 12:00:00+00:00,long,109350.0,108994.73142857142,109942.1142857143,2025-07-09 19:15:00+00:00,109942.1142857143,take_profit,33.333333333333606,1.6666666666666803,False
2025-07-10,2025-07-10 12:00:00+00:00,short,110760.2,111524.43714285713,109486.47142857143,2025-07-10 16:15:00+00:00,111524.43714285713,stop_loss,-20.0,-1.0,False
2025-07-11,2025-07-11 12:00:00+00:00,long,118200.0,117906.53142857143,118689.11428571428,2025-07-11 12:15:00+00:00,117906.53142857143,stop_loss,-20.0,-1.0,False
2025-07-12,2025-07-12 12:30:00+00:00,short,117450.0,117668.9057142857,117085.15714285715,2025-07-12 15:30:00+00:00,117085.15714285715,take_profit,33.33333333333422,1.666666666666711,False
2025-07-13,2025-07-13 12:15:00+00:00,long,118150.8,117799.98,118735.5,2025-07-13 14:15:00+00:00,118735.5,take_profit,33.333333333332504,1.6666666666666252,False
2025-07-15,2025-07-15 12:45:00+00:00,long,117193.1,116807.86571428571,117835.15714285715,2025-07-15 13:00:00+00:00,117835.15714285715,take_profit,33.33333333333258,1.666666666666629,False
2025-07-16,2025-07-16 12:30:00+00:00,long,118932.3,118530.79714285715,119601.47142857143,2025-07-16 15:00:00+00:00,119601.47142857143,take_profit,33.333333333333336,1.6666666666666667,False
2025-07-17,2025-07-17 12:00:00+00:00,short,117803.5,118437.39142857143,116747.01428571428,2025-07-17 13:45:00+00:00,118437.39142857143,stop_loss,-20.0,-1.0,False
